Date,Price
"Mar 31, 2020",49136
"Mar 30, 2020",49136
"Mar 27, 2020",49136
"Mar 26, 2020",49136
"Mar 25, 2020",49136
"Mar 24, 2020",49136
"Mar 23, 2020",49136
"Mar 20, 2020",49136
"Mar 19, 2020",49136
"Mar 18, 2020",49136
"Mar 17, 2020",49136
"Mar 16, 2020",49136
"Mar 13, 2020",49136
"Mar 12, 2020",49136
"Mar 11, 2020",49136
"Mar 10, 2020",49136
"Mar 09, 2020",49136
"Mar 06, 2020",49136
"Mar 05, 2020",49136
"Mar 04, 2020",49136
"Mar 03, 2020",49136
"Mar 02, 2020",49136
"Feb 28, 2020",49136
"Feb 27, 2020",49136
"Feb 26, 2020",49136
"Feb 25, 2020",49136
"Feb 24, 2020",49136
"Feb 21, 2020",49136
"Feb 20, 2020",49136
"Feb 19, 2020",49136
"Feb 18, 2020",49136
"Feb 17, 2020",49136
"Feb 14, 2020",49136
"Feb 13, 2020",49136
"Feb 12, 2020",49136
"Feb 11, 2020",49136
"Feb 10, 2020",49136
"Feb 07, 2020",49136
"Feb 06, 2020",49136
"Feb 05, 2020",49136
"Feb 04, 2020",49136
"Feb 03, 2020",49136
"Jan 31, 2020",49136
"Jan 30, 2020",49136
"Jan 29, 2020",49136
"Jan 28, 2020",49136
"Jan 27, 2020",49136
"Jan 24, 2020",49136
"Jan 23, 2020",49136
"Jan 22, 2020",49136
"Jan 21, 2020",49136
"Jan 20, 2020",49136
"Jan 17, 2020",49136
"Jan 16, 2020",49136
"Jan 15, 2020",49136
"Jan 14, 2020",49136
"Jan 13, 2020",49136
"Jan 10, 2020",49136
"Jan 09, 2020",49136
"Jan 08, 2020",49136
"Jan 07, 2020",49136
"Jan 06, 2020",49136
"Jan 03, 2020",49136
"Jan 02, 2020",49136
"Jan 01, 2020",49136
"Dec 31, 2019",49136
"Dec 30, 2019",49136
"Dec 27, 2019",49136
"Dec 26, 2019",49136
"Dec 25, 2019",49136
"Dec 24, 2019",49136
"Dec 23, 2019",49136
"Dec 20, 2019",49136
"Dec 19, 2019",49136
"Dec 18, 2019",49136
"Dec 17, 2019",49136
"Dec 16, 2019",49136
"Dec 13, 2019",49136
"Dec 12, 2019",49136
"Dec 11, 2019",49136
"Dec 10, 2019",49136
"Dec 09, 2019",49136
"Dec 06, 2019",49136
"Dec 05, 2019",49136
"Dec 04, 2019",49136
"Dec 03, 2019",49136
"Dec 02, 2019",49136
"Nov 29, 2019",49136
"Nov 28, 2019",49136
"Nov 27, 2019",49136
"Nov 26, 2019",49136
"Nov 25, 2019",49136
"Nov 22, 2019",49136
"Nov 21, 2019",49136
"Nov 20, 2019",49136
"Nov 19, 2019",49136
"Nov 18, 2019",49136
"Nov 15, 2019",49136
"Nov 14, 2019",49136
"Nov 13, 2019",49136
"Nov 12, 2019",49136
"Nov 11, 2019",49136
"Nov 08, 2019",49136
"Nov 07, 2019",49136
"Nov 06, 2019",49136
"Nov 05, 2019",49136
"Nov 04, 2019",49136
"Nov 01, 2019",49136
"Oct 31, 2019",49136
"Oct 30, 2019",49136
"Oct 29, 2019",49136
"Oct 28, 2019",49136
"Oct 25, 2019",49136
"Oct 24, 2019",49136
"Oct 23, 2019",49136
"Oct 22, 2019",49136
"Oct 21, 2019",49136
"Oct 18, 2019",49136
"Oct 17, 2019",49136
"Oct 16, 2019",49136
"Oct 15, 2019",49136
"Oct 14, 2019",49136
"Oct 11, 2019",49136
"Oct 10, 2019",49136
"Oct 09, 2019",49136
"Oct 08, 2019",49136
"Oct 07, 2019",49136
"Oct 04, 2019",49136
"Oct 03, 2019",49136
"Oct 02, 2019",49136
"Oct 01, 2019",49136
"Sep 30, 2019",48947
"Sep 27, 2019",48947
"Sep 26, 2019",48947
"Sep 25, 2019",48947
"Sep 24, 2019",48947
"Sep 23, 2019",48947
"Sep 20, 2019",48947
"Sep 19, 2019",48947
"Sep 18, 2019",48947
"Sep 17, 2019",48947
"Sep 16, 2019",48947
"Sep 13, 2019",48947
"Sep 12, 2019",48947
"Sep 11, 2019",48947
"Sep 10, 2019",48947
"Sep 09, 2019",48947
"Sep 06, 2019",48947
"Sep 05, 2019",48947
"Sep 04, 2019",48947
"Sep 03, 2019",48947
"Sep 02, 2019",48947
"Aug 30, 2019",48947
"Aug 29, 2019",48947
"Aug 28, 2019",48947
"Aug 27, 2019",48947
"Aug 26, 2019",48947
"Aug 23, 2019",48947
"Aug 22, 2019",48947
"Aug 21, 2019",48947
"Aug 20, 2019",48947
"Aug 19, 2019",48947
"Aug 16, 2019",48947
"Aug 15, 2019",48947
"Aug 14, 2019",48947
"Aug 13, 2019",48947
"Aug 12, 2019",48947
"Aug 09, 2019",48947
"Aug 08, 2019",48947
"Aug 07, 2019",48947
"Aug 06, 2019",48947
"Aug 05, 2019",48947
"Aug 02, 2019",48947
"Aug 01, 2019",48947
"Jul 31, 2019",48947
"Jul 30, 2019",48947
"Jul 29, 2019",48947
"Jul 26, 2019",48947
"Jul 25, 2019",48947
"Jul 24, 2019",48947
"Jul 23, 2019",48947
"Jul 22, 2019",48947
"Jul 19, 2019",48947
"Jul 18, 2019",48947
"Jul 17, 2019",48947
"Jul 16, 2019",48947
"Jul 15, 2019",48947
"Jul 12, 2019",48947
"Jul 11, 2019",48947
"Jul 10, 2019",48947
"Jul 09, 2019",48947
"Jul 08, 2019",48947
"Jul 05, 2019",48947
"Jul 04, 2019",48947
"Jul 03, 2019",48947
"Jul 02, 2019",48947
"Jul 01, 2019",48947
"Jun 28, 2019",48584
"Jun 27, 2019",48584
"Jun 26, 2019",48584
"Jun 25, 2019",48584
"Jun 24, 2019",48584
"Jun 21, 2019",48584
"Jun 20, 2019",48584
"Jun 19, 2019",48584
"Jun 18, 2019",48584
"Jun 17, 2019",48584
"Jun 14, 2019",48584
"Jun 13, 2019",48584
"Jun 12, 2019",48584
"Jun 11, 2019",48584
"Jun 10, 2019",48584
"Jun 07, 2019",48584
"Jun 06, 2019",48584
"Jun 05, 2019",48584
"Jun 04, 2019",48584
"Jun 03, 2019",48584
"May 31, 2019",48584
"May 30, 2019",48584
"May 29, 2019",48584
"May 28, 2019",48584
"May 27, 2019",48584
"May 24, 2019",48584
"May 23, 2019",48584
"May 22, 2019",48584
"May 21, 2019",48584
"May 20, 2019",48584
"May 17, 2019",48584
"May 16, 2019",48584
"May 15, 2019",48584
"May 14, 2019",48584
"May 13, 2019",48584
"May 10, 2019",48584
"May 09, 2019",48584
"May 08, 2019",48584
"May 07, 2019",48584
"May 06, 2019",48584
"May 03, 2019",48584
"May 02, 2019",48584
"May 01, 2019",48584
"Apr 30, 2019",48584
"Apr 29, 2019",48584
"Apr 26, 2019",48584
"Apr 25, 2019",48584
"Apr 24, 2019",48584
"Apr 23, 2019",48584
"Apr 22, 2019",48584
